Longitude,Latitude,Pixel,Scan
24.5990204,10.3985087,3500,1100
24.6227527,10.3971175,3600,1100
24.646488,10.3957292,3700,1100
24.6702265,10.3943439,3800,1100
24.6939685,10.3929616,3900,1100
24.7174764,10.391596,3999,1100
23.7686748,10.4330304,0,1200
23.7924057,10.4315283,100,1200
23.8161337,10.4300294,200,1200
23.8398591,10.4285339,300,1200
23.8635819,10.4270417,400,1200
23.8873024,10.4255528,500,1200
23.9110207,10.4240671,600,1200
23.934737,10.4225847,700,1200
23.9584515,10.4211056,800,1200
23.9821642,10.4196297,900,1200
24.0058755,10.418157,1000,1200
24.0295854,10.4166876,1100,1200
24.0532942,10.4152214,1200,1200
24.0770019,10.4137583,1300,1200
24.1007088,10.4122985,1400,1200
24.124415,10.4108418,1500,1200
24.1481208,10.4093884,1600,1200
24.1718262,10.407938,1700,1200
24.1955314,10.4064909,1800,1200
24.2192366,10.4050468,1900,1200
24.242942,10.4036059,2000,1200
24.2666477,10.4021681,2100,1200
24.290354,10.4007335,2200,1200
24.3140609,10.3993019,2300,1200
24.3377687,10.3978734,2400,1200
24.3614774,10.396448,2500,1200
24.3851874,10.3950257,2600,1200
24.4088986,10.3936064,2700,1200
24.4326114,10.3921902,2800,1200
24.4563259,10.390777,2900,1200
24.4800422,10.3893668,3000,1200
24.5037606,10.3879597,3100,1200
24.5274811,10.3865556,3200,1200
24.551204,10.3851545,3300,1200
24.5749294,10.3837564,3400,1200
24.5986575,10.3823613,3500,1200
24.6223885,10.3809692,3600,1200
24.6461225,10.3795801,3700,1200
24.6698597,10.3781939,3800,1200
24.6936002,10.3768107,3900,1200
24.7171069,10.3754442,3999,1200
23.7683987,10.4169746,0,1300
23.7921286,10.4154725,100,1300
23.8158556,10.4139736,200,1300
23.8395799,10.4124781,300,1300
23.8633017,10.4109859,400,1300
23.8870211,10.409497,500,1300
23.9107384,10.4080113,600,1300
23.9344536,10.4065289,700,1300
23.958167,10.4050498,800,1300
23.9818788,10.4035739,900,1300
24.005589,10.4021013,1000,1300
24.0292979,10.4006319,1100,1300
24.0530056,10.3991657,1200,1300
24.0767123,10.3977027,1300,1300
24.1004182,10.3962429,1400,1300
24.1241234,10.3947862,1500,1300
24.1478281,10.3933328,1600,1300
24.1715325,10.3918825,1700,1300
24.1952367,10.3904354,1800,1300
24.2189409,10.3889914,1900,1300
24.2426453,10.3875505,2000,1300
24.26635,10.3861128,2100,1300
24.2900553,10.3846782,2200,1300
24.3137612,10.3832466,2300,1300
24.3374679,10.3818182,2400,1300
24.3611757,10.3803929,2500,1300
24.3848846,10.3789706,2600,1300
24.4085949,10.3775514,2700,1300
24.4323067,10.3761352,2800,1300
24.4560202,10.3747221,2900,1300
24.4797356,10.373312,3000,1300
24.5034529,10.371905,3100,1300
24.5271725,10.370501,3200,1300
24.5508944,10.3691,3300,1300
24.5746188,10.3677019,3400,1300
24.598346,10.3663069,3500,1300
24.622076,10.3649149,3600,1300
24.645809,10.3635258,3700,1300
24.6695452,10.3621397,3800,1300
24.6932848,10.3607566,3900,1300
24.7167905,10.3593902,3999,1300
23.7680716,10.4011292,0,1400
23.791801,10.3996277,100,1400
23.8155275,10.3981296,200,1400
23.8392513,10.3966347,300,1400
23.8629726,10.3951432,400,1400
23.8866916,10.393655,500,1400
23.9104084,10.39217,600,1400
23.9341232,10.3906884,700,1400
23.9578361,10.38921,800,1400
23.9815474,10.3877348,900,1400
24.0052571,10.3862629,1000,1400
24.0289656,10.3847942,1100,1400
24.0526728,10.3833287,1200,1400
24.0763791,10.3818664,1300,1400
24.1000845,10.3804074,1400,1400
24.1237893,10.3789515,1500,1400
24.1474935,10.3774988,1600,1400
24.1711975,10.3760492,1700,1400
24.1949012,10.3746028,1800,1400
